ID,Time,
1,17:52,
2,16:58,
3,17:02,
4,17:08,
5,17:10,
6,15:35,
7,15:19,
8,15:27,
9,15:30,
10,14:46,
11,14:33,
12,12:53,
13,12:01,
14,11:38,
15,10:37,
16,10:39,
17,14:00,
18,13:12,
19,13:22,
20,13:24,
21,12:46,
22,10:50,
23,10:59,
24,9:49,
25,9:51,
26,10:06,
27,10:19,
28,10:20,
29,9:28,
30,9:44,
31,9:48,
32,9:05,
33,9:21,
34,9:22,
35,8:28,
36,8:29,
37,8:31,
38,8:35,
39,8:35,
40,8:11,
41,8:14,
42,7:28,
43,8:43,
44,16:49,
45,17:50,
46,8:20,
47,18:12,
48,17:10,
49,7:45,
50,7:47,
51,7:36,
52,7:38,
53,14:52,
54,7:48,
55,7:59,
56,6:56,
57,7:28,
58,7:25,
59,14:45,
60,13:39,
61,13:31,
62,14:43,
63,15:02,
64,15:02,
65,8:21,
